,component0,component1,component2,component3,component4,component5,component6,component7,component8,component9,component10,component11,component12,component13,component14,component15,component16,component17,component18,component19,component20,component21,component22,component23,component24,component25,component26,component27,component28,component29,component30,component31,component32,component33,component34,component35,component36,component37,component38,component39,component40,component41,component42,component43,component44,component45,component46,component47,component48,component49
157-1_vector_tfidf.txt,0.3387462613108338,-0.684462927258348,-0.12457170880502082,-0.0440339377545193,-0.18773974514363231,0.10883897165217812,-0.16798373520020365,0.1585344494506083,0.04489281584130412,0.006007123524533904,-0.036407131986023834,0.00808729563268878,-0.02138753650739505,0.11697418415427747,0.024565011191348924,0.06405362825263358,0.05162602213651271,0.059949183567457896,0.07777581250782833,-0.1415317394182291,0.05716292132844383,-0.04984748325277624,-0.09311921477974842,0.040644522617287966,0.03816069132469508,0.03378567724074962,-0.08768688080506584,0.029228201167227692,-0.22760733956095497,0.04637894980775344,-0.10216413075321348,-0.0835950867792225,-0.10263009038718025,-0.08150064709091544,-0.11981164702348127,-0.025848359931129626,0.1534482594620651,-0.04312925202991616,-0.15625035152672417,0.09204462078296027,0.015248070140488616,0.139449887106229,-0.08243370864848926,0.01418914805172129,0.05477801850720603,0.05499322919946942,0.029710237807166345,-0.08680883053253616,-0.08244438962236779,-0.08501036063368962
157-2_vector_tfidf.txt,0.3346694859882841,-0.6815611320708125,-0.1414947555174359,-0.05761795997138293,-0.19319201898433558,0.09020282804596019,-0.16895548694331192,0.16015033657089212,0.058122856915362744,0.002009558421101871,-0.026914179573963828,0.004049230054417779,-0.04101856444928094,0.10640834809254576,0.0247263617956889,0.057061504263645875,0.06097997456476745,0.052945184591370806,0.08069655284118982,-0.1297872424397046,0.04438703080773937,-0.04791755535646702,-0.09745191329795885,0.03844012874773675,0.02679349186731408,0.027575882992708974,-0.09388954580538685,0.03784824422886229,-0.2219704541637098,0.048998126438144794,-0.09467447885443951,-0.09885328812631489,-0.07990355003928809,-0.08316888943419819,-0.12761191546460518,-0.025306572739329874,0.1777736065700776,-0.020715541466695745,-0.15406014743250082,0.09414784485855392,3.0109949788795067e-05,0.15778072354373046,-0.08725069377289432,0.017363301001934905,0.061649747403153723,0.048747246668526485,0.04085822786611423,-0.0756082595108558,-0.09102600115938868,-0.05208612762668463
157-3_vector_tfidf.txt,0.37108286894503556,-0.672459082222571,-0.11109938795865715,-0.04662204360685959,-0.19529447511987003,0.08671840949081819,-0.19644148633159067,0.1781231525961927,0.06072980186706379,0.004958033247193844,-0.029373567076264574,0.00013750017269113327,-0.025592355190242725,0.10532345534570832,0.04311176244533026,0.07240252993889605,0.07255399286385703,0.06716793097713704,0.05511984276114703,-0.11835549662722407,0.03608218756703567,-0.04130629717647281,-0.0818839479951483,0.04323210601705821,0.02791242752952109,0.025174681913395943,-0.0775599709333137,0.024824635856580155,-0.21293285701275777,0.05240676929995206,-0.05983464988406235,-0.07382750376943195,-0.06293931614247057,-0.08426865835567333,-0.1287665665848863,-0.0094764343484097,0.18009325646932564,-0.02301389268880437,-0.1762301914267734,0.09197665635505015,0.009470176863911849,0.15428320905467072,-0.08192877167788579,0.02534551433598805,0.032104532312446254,0.06113975099406147,0.03761952764853654,-0.06481922344496864,-0.08180571794535287,-0.06382306034978381
157-4_vector_tfidf.txt,0.36860021806928805,-0.6570208019532977,-0.14494773502724903,-0.05415828402842944,-0.18352203618831134,0.10601804145495507,-0.16554325689269983,0.17640322419614388,0.07145617500719988,-0.003570552181143077,-0.045662262664905105,0.023205278418535525,-0.041973623020219945,0.11148032613935047,0.02055286276178796,0.0546323507737634,0.047415651007986094,0.04892133387686128,0.06988194098032031,-0.13593002685072078,0.025278136760858865,-0.040385792515865576,-0.09611504407968577,0.04220366142694797,0.03431459727919254,0.02129257899665103,-0.1140171169967441,0.03361209180260512,-0.2303126380256775,0.05366217720224075,-0.07960613759432665,-0.08613021221805928,-0.10045857044793936,-0.0949502211306295,-0.1258924824555083,-0.020936484700948336,0.1667084361925269,-0.04185032815800583,-0.16662651763356862,0.09255350865907964,0.007812336592562711,0.13907744282669385,-0.08468448212927089,0.015280934089391183,0.03699569670768802,0.06964847787531715,0.033467214383381606,-0.07820646898131263,-0.08850484778218871,-0.060298275001821756
157-5_vector_tfidf.txt,0.34266881323107656,-0.689945487545994,-0.11199519137508607,-0.051486469874473646,-0.17078122796540188,0.08040881486930587,-0.16626061524824998,0.15890170525167555,0.04734865534946719,0.020263165186638565,-0.013308419734182297,0.01833876284229508,-0.019841729184438703,0.09880327021037819,0.022882391866895762,0.07453480425176787,0.0950119185565046,0.05030567864503272,0.0884918711115443,-0.1270678577656042,0.036190899743271346,-0.05830949049488514,-0.10722303003297276,0.041909139977936605,0.029448819307248787,0.03993213604083278,-0.08469728453378746,0.02168673704576657,-0.23313844408741816,0.06232063566160263,-0.09388646064726099,-0.09975980839381086,-0.07935874068391884,-0.07857428537558826,-0.11594755285238197,-0.043586455821659716,0.16987970968839503,-0.020393632259447833,-0.1560867541230918,0.09599416821004414,0.00604278227053164,0.14442976708566443,-0.08282339636584105,0.02703177584085986,0.062455390803168864,0.05283235959753466,0.02203397583399066,-0.07130436128163867,-0.08485299049323353,-0.06488380047961463
157-6_vector_tfidf.txt,0.3584487813781347,-0.6725002996216027,-0.12695021558049857,-0.05101960134078754,-0.18795336927400952,0.08894231772227186,-0.17694970976995458,0.16438503364625176,0.03878096225069982,0.01290460304179126,-0.04151044921059667,0.024939597635658787,-0.012400650839857289,0.10487997206535754,0.02114290492278916,0.06683832444497688,0.053255432593782674,0.03402003400508321,0.07801418987022497,-0.13151641176930307,0.037729300845071805,-0.042286450922500114,-0.09613879056314437,0.045764314710082785,0.02995988449564912,0.028199377247953343,-0.08809052023815718,0.029021914918786838,-0.21075471250334607,0.059012806256017986,-0.09150021480764206,-0.08393955136546695,-0.09809009844502094,-0.09523096395634947,-0.1255119660161072,-0.042050879646568666,0.1926914960788802,-0.02606746568052153,-0.15491868442332,0.09136737954240433,0.04562532884450039,0.14371379290450886,-0.06676103912796522,0.020806275835294277,0.06246303538117946,0.07130421137471124,0.04089262151599017,-0.07430294180799416,-0.10357705146700717,-0.04943581803273996
157-7_vector_tfidf.txt,0.3888161097196573,-0.6522875475635395,-0.1256161506062905,-0.03877675946958226,-0.1845535347323487,0.09797560245286147,-0.17255282428569146,0.17724389589500342,0.03798956570991632,-0.008078250671875358,-0.03216783198489344,0.02165723608819115,-0.023602328954997375,0.10945879362388461,0.02023771327374174,0.039312126837652964,0.06572751954163598,0.06540354065134432,0.06942353742216738,-0.12941016445841447,0.04044595462041272,-0.06002421603781699,-0.08776106933052194,0.03652423095357565,0.04330017413048575,0.04161277492157441,-0.0848168107194554,0.025531032020151428,-0.23391804174243552,0.06303174668834761,-0.09289435657500064,-0.06331024817061949,-0.06383295081822848,-0.08852806680181849,-0.13024411643065337,-0.03566445915411421,0.1969906289945364,-0.03607221260174958,-0.16652182176607147,0.09350903085223886,0.008779003623835107,0.13724135034443885,-0.09447920048992507,-0.00785510336647111,0.05676264233117147,0.043395247983345084,0.035275270095552314,-0.0767698145399907,-0.08208054293195265,-0.05364457716537508
157-8_vector_tfidf.txt,0.3218956050282677,-0.6858186882006755,-0.1139025071181035,-0.04755354461675533,-0.1886325248314093,0.093106449391559,-0.18220566265161986,0.1500393501070332,0.056423938780224656,0.01162637052796287,-0.04459039909181946,0.024844163324652946,-0.03828175716441076,0.08911820731659728,0.03568828849828219,0.0438315732989114,0.06821289583433743,0.05792051345290824,0.0844277250049855,-0.12373735930316418,0.03558541975640232,-0.05938322446975836,-0.10207526118548531,0.03192893033461398,0.03447276658629364,0.04799671143039724,-0.07798909237174606,0.03187031802987465,-0.23133508948898004,0.05427445139664696,-0.08308760217365652,-0.09088018219150376,-0.0740604598668512,-0.0916440190331534,-0.1301565001955383,-0.025343579139942216,0.16933381902276665,-0.03192782233885114,-0.16355309887069935,0.10394131395014772,0.017187240835377343,0.15673781208276721,-0.09000536482044968,0.020907667620510578,0.05758230773347679,0.06271836714986187,0.035367506060368786,-0.0853122604438249,-0.10346048832714401,-0.06945187839692805
157-9_vector_tfidf.txt,0.3420541691586907,-0.6816080602517927,-0.12238247628463306,-0.05146715481244515,-0.18804357059815885,0.09924926140206468,-0.16243687628224449,0.1712940829866227,0.05713651229345437,0.007741265480620894,-0.038136700815306256,0.0007892677441393616,-0.038509853903128305,0.09398444547667337,0.02726720306683507,0.05027008856328795,0.07753916043331649,0.04627394359538554,0.07015574501706802,-0.11028360504792144,0.04684160610793025,-0.027643316580279936,-0.1148185821729569,0.045807902992708316,0.019412444349228772,0.03808858738209902,-0.08875764265200731,0.008559765017156258,-0.2273154124522687,0.05773391941771173,-0.09120992193617888,-0.08510013558990402,-0.08679974195034501,-0.07915796777000203,-0.13470536621844606,-0.015914177862976088,0.20450294800352928,-0.0189743014673575,-0.15792117811422637,0.09137157838959863,-0.0022124312985494473,0.1484396055530296,-0.08792560481725509,0.013327887309619259,0.03599268626322794,0.05383350672558946,0.046027124912699544,-0.06811888917923499,-0.07770303662119472,-0.055219524981718775
157_vector_tfidf.txt,0.5031266464250649,-0.47772185929590644,-0.10238437736788422,-0.09786058030561694,-0.19131753151130457,0.15350658801223793,-0.1712985485139184,0.20266279266415985,0.12025745855380932,-0.057014246710741685,-0.1517739116159595,-0.02492099099316478,0.007957027182653457,0.08263003983780891,0.0834296155261888,0.06660521220913666,-0.04920460805266592,0.03989156964857067,-0.13230108237298846,-0.1302127338227684,0.03788144481733161,-0.05709763987811182,0.0585349544000295,0.06946555335464817,0.0526815130282183,-0.18636210678246787,0.15251150331773822,0.06457203139497227,-0.10722033007893575,-0.05554151022406715,-0.0020357132665556987,0.11193680105948878,0.11752457508282724,-0.05237462561365181,-0.07603073623118677,0.14209838347887913,0.22277935541610228,0.006614829314347195,-0.21625069504067876,0.08680029881183834,0.03361903826465724,0.06854238718524623,-0.03068681650367346,-0.006217629268335995,0.004015241064656926,0.050321930379943446,-0.0298195021337069,0.03926098250784474,-0.03359121496835853,-0.07390350164250055
